ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,ReachedonTime_YN,
1,D,Flight,4,2,177,3,low,F,44,1233,1,0.930683868
2,F,Flight,4,5,216,2,low,M,59,3088,1,0.188483582
3,A,Flight,2,2,183,4,low,M,48,3374,1,0.01464278
4,B,Flight,3,3,176,4,medium,M,10,1177,1,0.671284928
5,C,Flight,2,2,184,3,medium,F,46,2484,1,0.671450021
6,F,Flight,3,1,162,3,medium,F,12,1417,1,0.264702867
7,D,Flight,3,4,250,3,low,F,3,2371,1,0.952380559
8,F,Flight,4,1,233,2,low,F,48,2804,1,0.982845895
9,A,Flight,3,4,150,3,low,F,11,1861,1,0.653630977
10,B,Flight,3,2,164,3,medium,F,29,1187,1,0.121013197
11,C,Flight,3,4,189,2,medium,M,12,2888,1,0.782867758
12,F,Flight,4,5,232,3,medium,F,32,3253,1,0.700121425
13,D,Flight,3,5,198,3,medium,F,1,,1,0.411629084
14,F,Flight,4,4,275,3,high,M,29,2602,1,0.745183487
15,A,Flight,4,3,152,3,low,M,43,,1,0.431447256
16,B,Flight,4,3,227,3,low,F,45,2707,1,0.50709189
17,C,Flight,3,4,143,2,medium,F,6,1194,1,0.103908409
18,F,Ship,5,5,227,3,medium,M,36,3952,1,0.780819603
19,D,Ship,5,5,239,3,high,M,18,2495,1,0.271961629
20,F,Ship,4,5,145,3,medium,M,45,1059,1,0.1184516
21,A,Ship,3,3,161,2,medium,F,38,1521,1,0.031303226
22,B,Ship,3,1,232,4,medium,F,51,2899,1,0.209953807
23,C,Ship,2,5,156,2,low,M,2,1750,1,0.871383972
24,F,Ship,4,3,211,3,high,M,12,3922,1,0.252727337
25,D,Ship,4,5,251,2,medium,F,28,3561,1,0.902795962
26,F,Ship,3,1,225,4,low,M,29,3496,1,0.188333513
27,A,Ship,4,1,172,3,high,F,24,,1,0.353517843
28,B,Ship,5,1,162,3,medium,M,31,1435,1,0.068429852
29,C,Ship,2,3,234,4,low,M,44,3134,1,0.953231544
30,F,Ship,5,4,183,2,low,F,36,3819,1,0.774530039
31,D,Ship,3,4,266,2,medium,F,38,2741,1,0.800471482
32,F,Ship,5,3,257,2,low,F,61,3341,1,0.919475896
33,A,Ship,3,1,223,3,low,F,22,3795,1,0.872519078
34,B,Ship,4,2,234,3,medium,M,4,3261,1,0.842372173
35,C,Ship,4,2,227,4,medium,F,22,2460,1,0.45356535
36,F,Ship,5,4,149,3,medium,F,44,1811,1,0.27045428
37,D,Ship,3,5,137,4,high,F,62,1477,1,0.230843291
38,F,Ship,2,4,181,6,medium,F,16,,1,0.413099287
39,A,Ship,5,1,215,4,low,F,56,3905,1,0.290279883
40,B,Ship,4,2,269,5,low,F,45,2383,1,0.91331809
41,C,Ship,5,1,227,2,low,M,15,3798,1,0.783916859
42,F,Ship,5,5,139,4,medium,M,61,1265,1,0.456368064
43,D,Ship,3,5,137,2,medium,M,38,1647,1,0.292806823
44,F,Ship,3,1,174,2,low,M,44,1556,1,0.74757563
45,A,Ship,3,1,151,2,low,M,29,1328,1,0.07585196
46,B,Ship,5,1,210,3,low,F,9,2944,1,0.120063359
47,C,Ship,3,4,169,4,medium,F,32,1245,1,0.645721615
48,F,Ship,5,1,160,2,low,M,32,1576,1,0.681224738
49,D,Ship,5,4,190,2,medium,M,9,,1,0.371489388
50,F,Ship,5,3,216,3,low,F,40,2146,1,0.750925785
51,A,Ship,4,1,183,3,low,M,37,2042,1,0.101681672
52,B,Ship,4,4,141,3,low,M,22,1735,1,0.270260583
53,C,Ship,4,3,165,3,low,F,44,1320,1,0.762326367
54,F,Ship,2,1,170,3,low,M,41,,1,0.406809532
55,D,Ship,4,3,203,3,high,M,12,3539,1,0.766390557
56,F,Ship,2,5,246,5,low,M,46,2437,1,0.25444929
57,A,Ship,3,3,238,3,low,F,61,3096,1,0.252289978
58,B,Ship,3,3,193,3,medium,F,29,3453,1,0.819920105
59,C,Ship,5,5,141,3,high,M,41,,1,0.430437354
60,F,Ship,4,1,150,3,high,F,17,1923,1,0.170336679
61,D,Ship,3,1,221,3,low,F,64,2794,1,0.789318407
62,F,Ship,3,3,179,3,medium,M,52,1158,1,0.962465944
63,A,Ship,5,1,105,6,medium,M,62,1292,1,0.978182524
64,B,Ship,3,1,177,3,medium,M,61,1880,1,0.63505326
65,C,Ship,4,5,261,2,high,M,49,,1,0.360946604
66,F,Ship,3,2,202,3,low,M,49,2881,1,0.78737853
67,D,Ship,3,2,109,3,medium,F,15,1710,1,0.615644815
68,F,Ship,3,3,158,3,low,F,6,,1,0.366938324
69,A,Ship,4,2,231,4,medium,F,6,2512,1,0.773228196
70,B,Ship,3,5,206,3,medium,M,39,2929,1,0.454842572
71,C,Ship,5,1,187,4,high,M,14,3849,1,0.18111935
72,F,Ship,5,5,230,2,low,F,2,2229,1,0.494219457
73,D,Ship,5,5,232,3,medium,F,33,2998,1,0.803994804
74,F,Ship,4,5,215,3,medium,F,21,3984,1,0.915949232
75,A,Ship,6,1,238,6,low,F,13,,1,0.368395481
76,B,Ship,4,1,266,3,low,F,23,3775,1,0.773965934
77,C,Ship,2,3,158,2,medium,F,36,1788,1,0.705283412
78,F,Ship,3,3,113,3,low,F,43,1518,1,0.991584567
79,D,Ship,3,4,223,3,low,M,18,3959,1,0.498820269
80,F,Ship,3,5,257,2,medium,F,56,3711,1,0.769652342
81,A,Ship,3,4,180,2,medium,F,49,1942,1,0.882874087
82,B,Ship,2,5,132,3,low,M,18,1759,1,0.706139008
83,C,Ship,4,4,217,3,high,F,26,2875,1,0.486208512
84,F,Ship,5,5,162,3,high,F,31,1364,1,0.04210988
85,D,Ship,4,5,197,2,medium,F,40,2710,1,0.463990217
86,F,Ship,3,4,197,3,medium,M,13,2148,1,0.902298248
87,A,Ship,4,1,185,2,low,M,44,2910,1,0.985224142
88,B,Ship,6,2,278,3,medium,F,3,2974,1,0.178997275
89,C,Ship,3,3,229,3,low,M,49,2339,1,0.99183547
90,F,Ship,4,1,186,4,medium,F,57,3880,1,0.552706107
91,D,Ship,5,3,174,6,high,F,41,1085,1,0.591681375
92,F,Ship,5,5,286,3,low,F,18,3163,1,0.073375764
93,A,Ship,4,4,175,2,medium,F,7,1188,1,0.148960936
94,B,Ship,3,3,219,3,medium,F,17,,1,0.357207206
95,C,Ship,4,1,213,4,high,F,35,2343,1,0.536650805
96,F,Ship,2,3,235,3,low,M,57,2034,1,0.847411039
97,D,Ship,3,3,149,2,medium,M,18,1225,1,0.213267488
98,F,Ship,4,1,271,2,medium,F,8,2401,1,0.521102722
99,A,Ship,3,5,144,4,medium,M,5,1104,1,0.672123135
100,B,Ship,4,2,145,2,medium,M,21,,1,0.442900236
101,C,Ship,5,3,143,2,medium,M,59,1837,1,0.255949048
102,F,Ship,5,5,227,4,low,M,53,2624,1,0.652217269
103,D,Ship,2,1,213,3,low,M,29,2732,1,0.522502646
104,F,Ship,5,1,144,4,low,M,37,1658,1,0.817231242
105,A,Ship,3,3,218,3,low,M,3,2255,1,0.057132692
106,B,Ship,4,2,144,3,medium,M,59,1588,1,0.058255753
107,C,Ship,3,1,238,3,low,M,17,2624,1,0.971993765
108,F,Ship,4,5,216,3,high,M,26,2053,1,0.88792552
109,D,Ship,4,5,238,3,high,F,55,3257,1,0.053227886
110,F,Ship,4,1,141,3,medium,M,47,1250,1,0.297831501
111,A,Road,3,1,158,2,low,M,2,1284,1,0.041194085
112,B,Road,4,2,239,3,low,F,65,3679,1,0.213734819
113,C,Road,4,3,175,2,low,M,25,1816,1,0.651833143
114,F,Road,3,2,263,3,low,M,41,2817,1,0.944626988
115,D,Road,3,5,168,2,high,M,50,,1,0.399215307
116,F,Road,3,4,176,3,high,M,36,1779,1,0.619858342
117,A,Road,4,1,150,4,high,M,60,1024,1,0.874957006
118,B,Road,4,3,265,2,medium,F,31,,1,0.446188191
119,C,Road,2,5,263,3,low,F,5,2947,1,0.028227286
120,F,Road,5,1,145,3,low,M,20,1387,1,0.296246566
121,D,Road,4,2,183,3,low,F,33,2741,1,0.209613082
